,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
2497,228.0,아르떼뮤지엄제주,7,77,2022-09-07,22.4,23,22,0,4,2022-09-07 00:00:00,September,2,fall,,,336.72073
2815,256.0,오설록티뮤지엄,3,43,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,334.69763
1891,172.0,섭지코지,2,32,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,332.61166
4882,444.0,한라산둘레길사려니숲길,8,97,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,330.02527
4880,444.0,한라산둘레길사려니숲길,8,95,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,329.80548
4881,444.0,한라산둘레길사려니숲길,8,96,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,328.66794
2501,228.0,아르떼뮤지엄제주,7,81,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,328.06677
2814,256.0,오설록티뮤지엄,3,42,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,327.31223
4878,444.0,한라산둘레길사려니숲길,8,93,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,327.1214
2502,228.0,아르떼뮤지엄제주,7,82,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,326.1774
2506,228.0,아르떼뮤지엄제주,7,86,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,326.09897
2504,228.0,아르떼뮤지엄제주,7,84,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,324.55676
1886,172.0,섭지코지,2,27,2022-09-12,25.0,27,23,40,4,2022-09-12 00:00:00,September,0,fall,,,324.1404
2812,256.0,오설록티뮤지엄,3,40,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,324.082
1890,172.0,섭지코지,2,31,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,322.28177
2505,228.0,아르떼뮤지엄제주,7,85,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,322.0404
1888,172.0,섭지코지,2,29,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,321.59265
2809,256.0,오설록티뮤지엄,3,37,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,321.4955
1889,172.0,섭지코지,2,30,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,320.4551
2808,256.0,오설록티뮤지엄,3,36,2022-09-10,24.83333333333333,28,22,30,4,2022-09-10 00:00:00,September,5,fall,,,317.6246
289,27.0,곽지해수욕장,7,80,2022-09-10,24.0,26,22,30,4,2022-09-10 00:00:00,September,5,fall,,,313.38928
2810,256.0,오설록티뮤지엄,3,38,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,312.93338
2813,256.0,오설록티뮤지엄,3,41,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,310.52542
2807,256.0,오설록티뮤지엄,3,35,2022-09-09,24.291666666666668,28,21,20,4,2022-09-09 00:00:00,September,4,fall,,,309.09378
2805,256.0,오설록티뮤지엄,3,33,2022-09-07,22.8,23,22,0,4,2022-09-07 00:00:00,September,2,fall,,,304.1786
2811,256.0,오설록티뮤지엄,3,39,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,295.32455
2806,256.0,오설록티뮤지엄,3,34,2022-09-08,24.58333333333333,28,21,20,4,2022-09-08 00:00:00,September,3,fall,,,292.53436
4875,444.0,한라산둘레길사려니숲길,8,90,2022-09-09,22.875,25,21,30,4,2022-09-09 00:00:00,September,4,fall,,,290.627
4874,444.0,한라산둘레길사려니숲길,8,89,2022-09-08,23.125,25,21,20,4,2022-09-08 00:00:00,September,3,fall,,,290.3731
4873,444.0,한라산둘레길사려니숲길,8,88,2022-09-07,22.2,23,22,0,4,2022-09-07 00:00:00,September,2,fall,,,287.8722
288,27.0,곽지해수욕장,7,79,2022-09-09,23.5,26,21,20,4,2022-09-09 00:00:00,September,4,fall,,,287.84293
1881,172.0,섭지코지,2,22,2022-09-07,23.4,24,23,0,4,2022-09-07 00:00:00,September,2,fall,,,287.59604
287,27.0,곽지해수욕장,7,78,2022-09-08,23.541666666666668,26,21,20,4,2022-09-08 00:00:00,September,3,fall,,,286.71295
2499,228.0,아르떼뮤지엄제주,7,79,2022-09-09,23.5,26,21,20,4,2022-09-09 00:00:00,September,4,fall,,,286.6618
1884,172.0,섭지코지,2,25,2022-09-10,25.0,26,24,30,4,2022-09-10 00:00:00,September,5,fall,,,286.2543
1942,177.0,성산일출봉,2,28,2022-09-13,25.0,27,23,80,4,2022-09-13 00:00:00,September,1,fall,,,284.4381
2498,228.0,아르떼뮤지엄제주,7,78,2022-09-08,23.541666666666668,26,21,20,4,2022-09-08 00:00:00,September,3,fall,,,284.32516
485,45.0,금오름,10,111,2022-09-08,23.541666666666668,27,20,20,4,2022-09-08 00:00:00,September,3,fall,,,283.0734
486,45.0,금오름,10,112,2022-09-09,23.166666666666668,26,20,20,4,2022-09-09 00:00:00,September,4,fall,,,283.03452
1882,172.0,섭지코지,2,23,2022-09-08,24.33333333333333,26,23,20,4,2022-09-08 00:00:00,September,3,fall,,,281.76788
4879,444.0,한라산둘레길사려니숲길,8,94,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,281.46277
2179,199.0,쇠소깍,5,56,2022-09-08,25.541666666666668,29,22,20,4,2022-09-08 00:00:00,September,3,fall,,,281.2269
2533,231.0,아쿠아플라넷제주,2,25,2022-09-10,25.0,26,24,30,4,2022-09-10 00:00:00,September,5,fall,,,273.57654
1354,124.0,비자림,6,67,2022-09-08,23.5,26,21,20,4,2022-09-08 00:00:00,September,3,fall,,,272.54477
2540,231.0,아쿠아플라넷제주,2,32,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,270.66147
1355,124.0,비자림,6,68,2022-09-09,23.416666666666668,25,21,30,4,2022-09-09 00:00:00,September,4,fall,,,269.84564
2531,231.0,아쿠아플라넷제주,2,23,2022-09-08,24.33333333333333,26,23,20,4,2022-09-08 00:00:00,September,3,fall,,,268.24835
4876,444.0,한라산둘레길사려니숲길,8,91,2022-09-10,23.25,24,22,30,4,2022-09-10 00:00:00,September,5,fall,,,267.6135
2534,231.0,아쿠아플라넷제주,2,26,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,267.61148
2532,231.0,아쿠아플라넷제주,2,24,2022-09-09,24.33333333333333,25,23,30,4,2022-09-09 00:00:00,September,4,fall,,,265.9325
543,50.0,김녕해수욕장,6,70,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,265.77603
2539,231.0,아쿠아플라넷제주,2,31,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,264.25354
1887,172.0,섭지코지,2,28,2022-09-13,25.0,27,23,80,4,2022-09-13 00:00:00,September,1,fall,,,263.89288
2535,231.0,아쿠아플라넷제주,2,27,2022-09-12,25.0,27,23,40,4,2022-09-12 00:00:00,September,0,fall,,,263.86264
2537,231.0,아쿠아플라넷제주,2,29,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,263.56442
1363,124.0,비자림,6,76,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,263.2829
2538,231.0,아쿠아플라넷제주,2,30,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,262.42688
2188,199.0,쇠소깍,5,65,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,262.19406
286,27.0,곽지해수욕장,7,77,2022-09-07,22.4,23,22,0,4,2022-09-07 00:00:00,September,2,fall,,,261.94257
2180,199.0,쇠소깍,5,57,2022-09-09,25.041666666666668,28,23,20,4,2022-09-09 00:00:00,September,4,fall,,,260.11295
458,42.0,금능해수욕장,10,117,2022-09-14,26.5,29,24,40,4,2022-09-14 00:00:00,September,2,fall,,,259.19244
1357,124.0,비자림,6,70,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,259.14954
1970,180.0,성산포종합여객터미널,2,23,2022-09-08,24.33333333333333,26,23,20,4,2022-09-08 00:00:00,September,3,fall,,,258.04187
4389,400.0,천지연폭포,5,55,2022-09-07,25.0,26,24,0,4,2022-09-07 00:00:00,September,2,fall,,,256.69492
455,42.0,금능해수욕장,10,114,2022-09-11,25.5,28,23,40,4,2022-09-11 00:00:00,September,6,fall,,,254.31528
487,45.0,금오름,10,113,2022-09-10,23.875,26,21,30,4,2022-09-10 00:00:00,September,5,fall,,,252.90942
1358,124.0,비자림,6,71,2022-09-12,25.0,27,23,40,4,2022-09-12 00:00:00,September,0,fall,,,252.46117
2185,199.0,쇠소깍,5,62,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,252.27614
1353,124.0,비자림,6,66,2022-09-07,22.0,22,22,0,4,2022-09-07 00:00:00,September,2,fall,,,251.94983
452,42.0,금능해수욕장,10,111,2022-09-08,23.541666666666668,27,20,20,4,2022-09-08 00:00:00,September,3,fall,,,251.72888
549,50.0,김녕해수욕장,6,76,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,249.80804
461,42.0,금능해수욕장,10,120,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,248.17458
1362,124.0,비자림,6,75,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,247.483
2186,199.0,쇠소깍,5,63,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,247.39581
1361,124.0,비자림,6,74,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,245.6562
2181,199.0,쇠소깍,5,58,2022-09-10,25.416666666666668,27,24,30,4,2022-09-10 00:00:00,September,5,fall,,,245.47789
2182,199.0,쇠소깍,5,59,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,244.20302
4390,400.0,천지연폭포,5,56,2022-09-08,25.541666666666668,29,22,20,4,2022-09-08 00:00:00,September,3,fall,,,244.011
2183,199.0,쇠소깍,5,60,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,242.442
2530,231.0,아쿠아플라넷제주,2,22,2022-09-07,23.4,24,23,0,4,2022-09-07 00:00:00,September,2,fall,,,241.70686
1356,124.0,비자림,6,69,2022-09-10,24.125,25,23,30,4,2022-09-10 00:00:00,September,5,fall,,,240.91354
