title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
금오름,10,45.0,2022-09-09,23.166666666666668,26,20,20,4,283.03452
섭지코지,2,172.0,2022-09-08,24.33333333333333,26,23,20,4,281.76788
한라산둘레길사려니숲길,8,444.0,2022-09-13,25.5,27,24,80,4,281.46277
쇠소깍,5,199.0,2022-09-08,25.541666666666668,29,22,20,4,281.2269
아쿠아플라넷제주,2,231.0,2022-09-10,25.0,26,24,30,4,273.57654
비자림,6,124.0,2022-09-08,23.5,26,21,20,4,272.54477
아쿠아플라넷제주,2,231.0,2022-09-17,25.5,28,23,40,4,270.66147
비자림,6,124.0,2022-09-09,23.416666666666668,25,21,30,4,269.84564
아쿠아플라넷제주,2,231.0,2022-09-08,24.33333333333333,26,23,20,4,268.24835
한라산둘레길사려니숲길,8,444.0,2022-09-10,23.25,24,22,30,4,267.6135
아쿠아플라넷제주,2,231.0,2022-09-11,25.0,27,23,40,4,267.61148
아쿠아플라넷제주,2,231.0,2022-09-09,24.33333333333333,25,23,30,4,265.9325
김녕해수욕장,6,50.0,2022-09-11,25.0,27,23,40,4,265.77603
아쿠아플라넷제주,2,231.0,2022-09-16,25.0,27,23,40,4,264.25354
섭지코지,2,172.0,2022-09-13,25.0,27,23,80,4,263.89288
아쿠아플라넷제주,2,231.0,2022-09-12,25.0,27,23,40,4,263.86264
아쿠아플라넷제주,2,231.0,2022-09-14,26.0,28,24,40,4,263.56442
비자림,6,124.0,2022-09-17,25.5,28,23,40,4,263.2829
아쿠아플라넷제주,2,231.0,2022-09-15,26.0,28,24,40,4,262.42688
쇠소깍,5,199.0,2022-09-17,26.0,29,23,40,4,262.19406
곽지해수욕장,7,27.0,2022-09-07,22.4,23,22,0,4,261.94257
쇠소깍,5,199.0,2022-09-09,25.041666666666668,28,23,20,4,260.11295
금능해수욕장,10,42.0,2022-09-14,26.5,29,24,40,4,259.19244
